candidate_id,rank,score,reasoning
CAND_0062247,1,1.0111,"Top match with 7.3 years experience as a AI Engineer with deep expertise in Vector Search, RAG. Willing to relocate from kochi, kerala with an excellent 78% response rate. Demonstrates strong GitHub activity (52.7)."
CAND_0081846,2,0.97,"Top match with 6.7 years experience as a Lead AI Engineer with deep expertise in PyTorch, Vector Search, Embeddings. Willing to relocate from jaipur, rajasthan with an excellent 73% response rate."
CAND_0077337,3,0.9167,"Top match with 7.0 years experience as a Staff Machine Learning Engineer with deep expertise in LLMs, RAG. Willing to relocate from kochi, kerala with an excellent 95% response rate. Demonstrates strong GitHub activity (68.0)."
CAND_0050454,4,0.895,"Top match with 6.8 years experience as a AI Engineer with deep expertise in PyTorch, NLP, LLMs. Willing to relocate from delhi, delhi with an excellent 77% response rate."
CAND_0018499,5,0.8925,"Top match with 7.2 years experience as a Senior Machine Learning Engineer with deep expertise in RAG, Embeddings. Based in noida, uttar pradesh with an excellent 61% response rate. Demonstrates strong GitHub activity (94.8)."
CAND_0086022,6,0.8724,"Top match with 5.3 years experience as a Senior Applied Scientist with deep expertise in Vector Search, Embeddings, PyTorch. Willing to relocate from kolkata, west bengal with an excellent 55% response rate. Demonstrates strong GitHub activity (75.2)."
CAND_0010685,7,0.866,"Top match with 6.7 years experience as a NLP Engineer with deep expertise in PyTorch, RAG. Located in kolkata, west bengal with an excellent 83% response rate."
CAND_0066999,8,0.8541,"Top match with 5.9 years experience as a Recommendation Systems Engineer with deep expertise in LLMs, Embeddings. Willing to relocate from delhi, delhi with an excellent 63% response rate. Demonstrates strong GitHub activity (94.4)."
CAND_0045250,9,0.85,"Top match with 6.6 years experience as a Applied ML Engineer with deep expertise in Embeddings, NLP, Vector Search. Located in delhi, delhi with an excellent 74% response rate."
CAND_0043860,10,0.8347,"Top match with 6.1 years experience as a Junior ML Engineer with deep expertise in PyTorch, Vector Search. Willing to relocate from bhubaneswar, odisha with an excellent 81% response rate."
CAND_0007052,11,0.8202,"Highly qualified ML Engineer offering 6.5 years of background, focusing on RAG, Vector Search. Based in pune, maharashtra; response rate is 85%."
CAND_0046525,12,0.8181,"Highly qualified Senior Machine Learning Engineer offering 6.1 years of background, focusing on LLMs, NLP. Based in pune, maharashtra; response rate is 88%."
CAND_0008239,13,0.8117,"Highly qualified AI Engineer offering 4.0 years of background, focusing on Vector Search, PyTorch. Willing to relocate from jaipur, rajasthan; response rate is 73%. Active developer profile (strong GitHub activity (56.6))."
CAND_0064326,14,0.808,"Highly qualified Search Engineer offering 7.6 years of background, focusing on PyTorch, RAG. Located in gurgaon, haryana; response rate is 94%. Active developer profile (strong GitHub activity (61.4))."
CAND_0007009,15,0.805,"Highly qualified Recommendation Systems Engineer offering 7.9 years of background, focusing on Embeddings, LLMs. Based in noida, uttar pradesh; response rate is 62%. Active developer profile (strong GitHub activity (69.2))."
CAND_0058688,16,0.805,"Highly qualified AI Engineer offering 6.7 years of background, focusing on Embeddings. Willing to relocate from berlin; response rate is 74%."
CAND_0052994,17,0.7999,"Highly qualified HR Manager offering 6.6 years of background, focusing on LLMs, Embeddings, RAG. Located in gurgaon, haryana; response rate is 70%."
